id,Label
1.611752018388845e+18,Sadness
1.617324075529171e+18,Surprise
1.582824941480604e+18,Surprise
1.619444570529595e+18,Sadness
1.611062284834714e+18,Sadness
1.608162426163192e+18,Surprise
1.605345240411275e+18,Fear
1.610090401746113e+18,Happiness
1.631304094878167e+18,Anger
1.628160893149143e+18,Anger
1.64048810311381e+18,Sadness
1.608670280641135e+18,Anger
1.625405686602498e+18,Happiness
1.62605074961152e+18,Surprise
1.577583001462079e+18,Sadness
1.607337027040674e+18,Sadness
1.644234358142693e+18,Surprise
1.626967440671351e+18,Sadness
1.644234105289167e+18,Sadness
1.616120145675444e+18,Happiness
1.615449985306223e+18,Anger
1.644389085572657e+18,Anger
1.65266185863603e+18,Sadness
1.609314692446421e+18,Anger
1.614901707993158e+18,Fear
1.615494884504343e+18,Sadness
1.613070013052735e+18,Surprise
1.632349439913279e+18,Surprise
1.623063369677955e+18,Surprise
1.632599356401656e+18,Happiness
1.629226028676575e+18,Surprise
1.618228071664079e+18,Anger
1.636108296732934e+18,Happiness
1.596335646922412e+18,Happiness
1.596636027346596e+18,Happiness
1.599849130024907e+18,Surprise
1.606179967838011e+18,Sadness
1.619872690789286e+18,Sadness
1.606402327946174e+18,Sadness
1.608556159254024e+18,Sadness
1.607291900540903e+18,Sadness
1.607762054651199e+18,Sadness
1.606339786356142e+18,Happiness
1.651958199988224e+18,Sadness
1.649323717548286e+18,Surprise
1.644416664224637e+18,Fear
1.577747099457917e+18,Other
1.644236121474482e+18,Sadness
1.644684994298753e+18,Anger
1.644706118306865e+18,Anger
1.644618986640794e+18,Anger
1.608015255233303e+18,Anger
1.586028309166445e+18,Surprise
1.62614705562105e+18,Anger
1.627936422811378e+18,Anger
1.608136112584774e+18,Anger
1.632259074644492e+18,Happiness
1.619726157116744e+18,Surprise
1.644234151703241e+18,Sadness
1.623626342985257e+18,Fear
1.607041561400844e+18,Fear
1.607031567347769e+18,Surprise
1.6069888982318e+18,Surprise
1.607126752933085e+18,Happiness
1.607031609030738e+18,Surprise
1.607029813315011e+18,Happiness
1.607031631508046e+18,Surprise
1.607068869272764e+18,Surprise
1.607003279271121e+18,Surprise
1.610640674017378e+18,Surprise
1.607031651380646e+18,Surprise
1.607009174298182e+18,Surprise
1.608157835329954e+18,Happiness
1.60748381756418e+18,Happiness
1.607126463547077e+18,Happiness
1.607125901115892e+18,Happiness
1.60702986053426e+18,Surprise
1.607126259665863e+18,Happiness
1.607193706016154e+18,Surprise
1.607004407920759e+18,Surprise
1.607474056340689e+18,Surprise
1.607046107216978e+18,Surprise
1.607031673119732e+18,Surprise
1.60728100747178e+18,Happiness
1.607267860937691e+18,Surprise
1.607341609657549e+18,Surprise
1.607215754038096e+18,Surprise
1.60720042343757e+18,Surprise
1.607134187475341e+18,Surprise
1.609498447220036e+18,Sadness
1.66144486532078e+18,Surprise
1.60943093523728e+18,Surprise
1.631226240395801e+18,Happiness
1.644420745714364e+18,Surprise
1.609984339281854e+18,Sadness
1.606461885448077e+18,Happiness
1.604368860169347e+18,Surprise
1.633438289016373e+18,Happiness
1.609583981523079e+18,Happiness
1.637936986135884e+18,Happiness
1.57455851713425e+18,Surprise
1.607417282212385e+18,Surprise
1.612379699216536e+18,Anger
1.622311270346117e+18,Sadness
1.577918602476368e+18,Surprise
1.631090708303204e+18,Surprise
1.6068474530048e+18,Sadness
1.574288920703033e+18,Surprise
1.611030471852409e+18,Sadness
1.607231275877949e+18,Happiness
1.608368187673874e+18,Sadness
1.606339548467925e+18,Sadness
1.608104016273105e+18,Happiness
1.615585157259448e+18,Happiness
1.610348441783394e+18,Happiness
1.606960065726284e+18,Anger
1.576745969542398e+18,Anger
1.644593499474481e+18,Surprise
1.644575402029875e+18,Sadness
1.610948208615907e+18,Sadness
1.605334196502893e+18,Sadness
1.644850941257036e+18,Sadness
1.653772563762278e+18,Sadness
1.644688024020697e+18,Sadness
1.644381679962685e+18,Sadness
1.644996309911323e+18,Sadness
1.644401969530905e+18,Sadness
1.644784374053831e+18,Sadness
1.644592630641353e+18,Sadness
1.64440616747556e+18,Happiness
1.647097788923036e+18,Sadness
1.60657134956433e+18,Sadness
1.648729198578606e+18,Sadness
1.644750617640948e+18,Happiness
1.606661146806604e+18,Anger
1.606414691730858e+18,Happiness
1.578589750281507e+18,Happiness
1.610502406776975e+18,Happiness
1.616054917139169e+18,Sadness
1.620686778805154e+18,Surprise
1.607985239565152e+18,Happiness
1.611906358303154e+18,Surprise
1.613477040409424e+18,Surprise
1.611114633246425e+18,Happiness
1.606306892665557e+18,Surprise
1.607013051798282e+18,Happiness
1.64478108433109e+18,Anger
1.610837343061299e+18,Happiness
1.631836772547326e+18,Sadness
1.662762307322106e+18,Surprise
1.623567268591587e+18,Sadness
1.615076872496484e+18,Sadness
1.629400518157128e+18,Sadness
1.607058738422206e+18,Happiness
1.607056276999094e+18,Happiness
1.6063588826868e+18,Surprise
1.608811839621861e+18,Sadness
1.63225983235389e+18,Sadness
1.645524569132859e+18,Sadness
1.608207274757231e+18,Surprise
1.610533954817495e+18,Happiness
1.577671434364649e+18,Happiness
1.612655404114391e+18,Surprise
1.621113214665888e+18,Surprise
1.609138764143817e+18,Surprise
1.627471676593021e+18,Anger
1.61570778217864e+18,Happiness
1.615439869819654e+18,Happiness
1.606686792412955e+18,Sadness
1.607440982253146e+18,Surprise
1.635579961670074e+18,Sadness
1.658348447458824e+18,Sadness
1.608506986399945e+18,Fear
1.626455461489791e+18,Anger
1.657521192914366e+18,Happiness
1.615057336711942e+18,Sadness
1.612330615097151e+18,Sadness
1.609629230597374e+18,Sadness
1.660870742249034e+18,Sadness
1.661507173422182e+18,Surprise
1.633578647662776e+18,Sadness
1.574792470008922e+18,Anger
1.60729184376234e+18,Anger
1.644434162625966e+18,Sadness
1.644604151349887e+18,Anger
1.606951600517534e+18,Happiness
1.606331496926962e+18,Happiness
1.607413324383134e+18,Happiness
1.607475427957789e+18,Sadness
1.606861425267429e+18,Sadness
1.615663757560283e+18,Fear
1.59944212486842e+18,Fear
1.614671159047373e+18,Sadness
1.606705558832443e+18,Happiness
1.619000391219425e+18,Fear
1.61924113036492e+18,Fear
1.619060206780162e+18,Sadness
1.607080525482832e+18,Sadness
1.607189240072348e+18,Happiness
1.607312120580018e+18,Anger
